solve time,Result,Name
5000,UNKNOWN,php14e14
316.542,SAT-VERIFIED,jgiraldezlevy.2200.9086.08.40.41
603.853,UNSAT,fixedbandwidth-eq-39_shuffled
211.704,SAT-VERIFIED,170154931
5000,UNKNOWN,tseitingrid7x140_shuffled
8.82749,UNSAT,Steiner-45-16-bce
2976.98,UNSAT,MUS-v300-2
845.149,UNSAT,jgiraldezlevy.2200.9086.08.40.46
165.768,UNSAT,hid-uns-enc-6-1-0-0-0-0-28258
0.013955,UNSAT,modgen-n200-m90860q08c40-3866
97.2567,UNSAT,sp4-33-bin-nons-flat-noid
801.933,UNSAT,fixedbandwidth-eq-40_shuffled
10.1599,SAT-VERIFIED,jgiraldezlevy.2200.9086.08.40.8
32.4555,SAT-VERIFIED,modgen-n200-m90860q08c40-6336
74.2647,SAT-VERIFIED,toughsat_factoring_1238s
1677.84,UNSAT,rphp5_035_shuffled
367.126,SAT-VERIFIED,170223547
83.977,UNSAT,hid-uns-enc-6-1-0-0-0-0-17599
329.432,UNSAT,rphp4_065_shuffled
0.245716,SAT-VERIFIED,battleship-13-25-sat
5000,UNKNOWN,sgen4-unsat-89-1
206.964,SAT-VERIFIED,170058143
56.4432,SAT-VERIFIED,jgiraldezlevy.2200.9086.08.40.33
93.5741,UNSAT,battleship-12-12-unsat
5000,UNKNOWN,sgen4-unsat-101-1
80.3644,UNSAT,hid-uns-enc-6-1-0-0-0-0-28527
5000,UNKNOWN,aes_64_2_keyfind_1
2863.7,UNSAT,jgiraldezlevy.2200.9086.08.40.135
242.181,SAT-VERIFIED,jgiraldezlevy.2200.9086.08.40.149
5000,UNKNOWN,tseitingrid7x150_shuffled
2361.73,UNSAT,homer17
174.096,SAT-VERIFIED,jgiraldezlevy.2200.9086.08.40.79
18.9682,SAT-VERIFIED,modgen-n200-m90860q08c40-2087
675.717,UNSAT,rphp4_075_shuffled
4092.45,UNSAT,MUS-v330-2
132.583,UNSAT,hid-uns-enc-6-1-0-0-0-0-8285
5000,UNKNOWN,eqsparrc12bpdtlf12
3087.49,UNSAT,size_4_5_5_i032_w31_r9
230.416,SAT-VERIFIED,sgen3-n140-s18527668-sat
5000,UNKNOWN,randomG-n19-d05
5000,UNKNOWN,aes_64_3_keyfind_1
0.197613,UNSAT,Steiner-27-10-bce
99.8163,SAT-VERIFIED,toughsat_factoring_148s
5000,UNKNOWN,sgen1-unsat-97-100
5000,UNKNOWN,pmg-12-UNSAT.sat05-3940.reshuffled-07
3.43356,SAT-VERIFIED,modgen-n200-m90860q08c40-19419
5000,UNKNOWN,Pb-chnl20-21_c18
609.195,UNSAT,MUS-v300-1
16.0394,SAT-VERIFIED,modgen-n200-m90860q08c40-1434
0.004137,UNSAT,Steiner-9-5-bce
2195.6,SAT-VERIFIED,sgen4-sat-200-8
3001.19,UNSAT,size_4_5_5_i003_w31_r9
5000,UNKNOWN,tseitingrid6x150_shuffled
1987.33,UNSAT,jgiraldezlevy.2200.9086.08.40.109
57.508,SAT-VERIFIED,jgiraldezlevy.2200.9086.08.40.93
5000,UNKNOWN,hwb-n28-02-S818962541.shuffled-as.sat03-1628
13.8396,SAT-VERIFIED,jgiraldezlevy.2200.9086.08.40.2
5000,UNKNOWN,randomG-B-Mix-n19-d05
797.759,SAT-VERIFIED,aes_24_4_keyfind_2
4602.79,SAT-VERIFIED,modgen-n200-m90860q08c40-3230
157.038,UNSAT,randomG-B-Mix-n15-d05
88.6615,UNSAT,sp4-33-una-stri-flat-noid
5000,UNKNOWN,par32-3-c
54.0488,SAT-VERIFIED,modgen-n200-m90860q08c40-6967
3.23611,UNSAT,6s165-nonopt
2838.26,UNSAT,bivium-39-200-0s0-0x1b770901581bbb2863c83835583d7ce4e1fafd907076320542-34
1567.98,UNSAT,size_4_5_5_i028_w31_r9
121.975,UNSAT,WS_400_16_90_70.apx_0
5000,UNKNOWN,battleship-14-14-unsat
663.503,SAT-VERIFIED,170153306
5000,UNKNOWN,modgen-n200-m90860q08c40-14808
100.999,UNSAT,hid-uns-enc-6-1-0-0-0-0-157
25.2952,SAT-VERIFIED,jgiraldezlevy.2200.9086.08.40.85
5000,UNKNOWN,randomG-Mix-n17-d05
5000,UNKNOWN,tseitingrid6x155_shuffled
2381.09,UNSAT,MUS-v310-2
64.5297,SAT-VERIFIED,jgiraldezlevy.2200.9086.08.40.28
289.305,UNSAT,hid-uns-enc-6-1-0-0-0-0-26462
0.013692,UNSAT,modgen-n200-m90860q08c40-15163
280.722,UNSAT,eqsparcl10bpwtrc10
890.159,SAT-VERIFIED,mod2-rand3bip-sat-270-2.sat05-2249.reshuffled-07
2726.23,UNSAT,ecgrid6x155_shuffled
5000,UNKNOWN,Steiner-135-33-bce
5000,UNKNOWN,sgen4-sat-220-8
528.78,UNSAT,rphp4_070_shuffled
5000,UNKNOWN,jgiraldezlevy.2200.9086.08.40.180
348.416,UNSAT,size_4_4_4_i4473_r8
5000,UNKNOWN,aes_32_5_keyfind_1
4417.46,UNSAT,MUS-v320-1
132.496,UNSAT,hid-uns-enc-6-1-0-0-0-0-12688
427.703,UNSAT,eqbpwtcl10spwtcl10
5000,UNKNOWN,tseitingrid7x155_shuffled
30.4533,SAT-VERIFIED,f600.shuffled
62.6202,UNSAT,hid-uns-enc-6-1-0-0-0-0-18123
7.58094,SAT-VERIFIED,modgen-n200-m90860q08c40-16597
2334.58,UNSAT,homer17.shuffled
5000,UNKNOWN,fsf-300-354-2-2-3-2.46.opt
5000,UNKNOWN,sgen1-sat-270-100
2752.01,UNSAT,size_4_5_5_i035_w31_r9
104.895,SAT-VERIFIED,jgiraldezlevy.2200.9086.08.40.158
5000,UNKNOWN,ecgrid6x175_shuffled
0.339794,UNSAT,modgen-n200-m90860q08c40-5377
466.315,SAT-VERIFIED,aes_24_4_keyfind_4
5000,UNKNOWN,hwb-n28-02-S818962541.sat05-492.reshuffled-07
5000,UNKNOWN,fsf-300-354-2-2-3-2.23.opt
62.3346,UNSAT,hid-uns-enc-6-1-0-0-0-0-18969
866.945,UNSAT,bivium-40-200-0s0-0xd447c33176b6b675fd5f8dc3a5deda46569dc34eedf37da020-6
203.466,UNSAT,hid-uns-enc-6-1-0-0-0-0-22984
283.185,UNSAT,mutcb16
314.953,UNSAT,tseitingrid4x185_shuffled
568.959,UNSAT,eqbpdtlf12bparrc12
4235.38,UNSAT,jgiraldezlevy.2200.9086.08.40.108
5000,UNKNOWN,tseitingrid7x175_shuffled
181.138,UNSAT,hid-uns-enc-6-1-0-0-0-0-3251
578.898,UNSAT,eq.atree.braun.11.unsat
431.098,SAT-VERIFIED,mod2c-rand3bip-sat-240-3.shuffled-as.sat05-2520
5000,UNKNOWN,aes_32_2_keyfind_1
575.058,UNSAT,cruxmiter28seed8
25.3499,UNSAT,modgen-n200-m90860q08c40-14424
5000,UNKNOWN,fsf-300-354-2-2-3-2.94.opt
5000,UNKNOWN,rphp5_050_shuffled
147.279,SAT-VERIFIED,toughsat_factoring_428s
2130.8,UNSAT,eq.atree.braun.12.unsat
31.9504,SAT-VERIFIED,170055892
5000,UNKNOWN,Steiner-135-32-bce
5000,UNKNOWN,tseitingrid6x180_shuffled
9.53859,SAT-VERIFIED,modgen-n200-m90860q08c40-11953
50.2871,UNSAT,hid-uns-enc-6-1-0-0-0-0-4779
185.677,UNSAT,ablmulub16x4o
5000,UNKNOWN,par32-1-c
5000,UNKNOWN,tseitingrid5x185_shuffled
50.9386,SAT-VERIFIED,modgen-n200-m90860q08c40-4208
5000,UNKNOWN,eq.atree.braun.13.unsat
1163.3,SAT-VERIFIED,170225515
0.013305,SAT-VERIFIED,manthey_single-ordered-initialized-w12-b6
5000,UNKNOWN,tseitingrid6x175_shuffled
4818.11,UNSAT,cruxmiter29seed9
5000,UNKNOWN,tseitingrid7x125_shuffled
5000,UNKNOWN,fsf-300-354-2-2-3-2.89.opt
2875.23,SAT-VERIFIED,aes_32_3_keyfind_1
5000,UNKNOWN,connm-ue-csp-sat-n800-d0.04-s1788334438.used-as.sat04-976
153.701,UNSAT,hid-uns-enc-6-1-0-0-0-0-22883
5000,UNKNOWN,tseitingrid6x185_shuffled
5000,UNKNOWN,cruxmiter32seed4
11.2198,SAT-VERIFIED,jgiraldezlevy.2200.9086.08.40.188
129.921,UNSAT,mp1-tri_ali_s11_c35_bail_UNS
5000,UNKNOWN,tseitingrid6x170_shuffled
5000,UNKNOWN,tseitingrid7x120_shuffled
1588.23,SAT-VERIFIED,170059722
5000,UNKNOWN,modgen-n200-m90860q08c40-13845
5000,UNKNOWN,tseitingrid5x180_shuffled
0.026167,SAT-VERIFIED,manthey_single-ordered-initialized-w14-b7
5000,UNKNOWN,randomG-n18-d05
5000,UNKNOWN,eulcbip-7-UNSAT.shuffled-as.sat05-3936
106.7,SAT-VERIFIED,modgen-n200-m90860q08c40-9056
2501.26,UNSAT,bivium-39-200-0s0-0x5fa955de2b4f64d00226837d226c955de4566ce95f660180d7-30
5000,UNKNOWN,connm-ue-csp-sat-n800-d0.04-s1788334438.sat05-543.reshuffled-07
5000,UNKNOWN,rphp5_055_shuffled
5000,UNKNOWN,tseitingrid7x170_shuffled
70.901,SAT-VERIFIED,toughsat_factoring_155s
4676.98,UNSAT,MUS-v310-3
2108.4,UNSAT,bivium-39-200-0s0-0xdcfb6ab71951500b8e460045bd45afee15c87e08b0072eb174-43
2353.41,UNSAT,size_4_5_5_i037_w31_r9
2255.53,UNSAT,MUS-v310-4
260.106,SAT-VERIFIED,jgiraldezlevy.2200.9086.08.40.83
282.143,SAT-VERIFIED,mod2-rand3bip-sat-250-3.sat05-2220.reshuffled-07
194.653,SAT-VERIFIED,170225812
9.01001,SAT-VERIFIED,jgiraldezlevy.2200.9086.08.40.20
3784.14,UNSAT,mp1-bsat210-739
1443.9,UNSAT,bivium-39-200-0s0-0x53e7622aad02b083b53dcd6a4a76f54a150ceb996ea1dfa300-63
5000,UNKNOWN,harder-php-025-024.sat05-1191.reshuffled-07
2069.95,SAT-VERIFIED,jgiraldezlevy.2200.9086.08.40.117
466.686,UNSAT,eqbpwtrc10spctbk10
5000,UNKNOWN,ecgrid6x185_shuffled
5000,UNKNOWN,randomG-B-Mix-n18-d05
395.239,UNSAT,size_4_4_4_i3499_r8
616.827,SAT-VERIFIED,f1000
