config,bench,generated,satisfied,units,pr-units,pr-binaries,pr-time,solve-time,total-time,solve-result,default-kissat-time,default-kissat-result,cake-verified
default_cake.sh,manthey_DimacsSorterHalf_30_0,355771,0,33,0,0,100.07,45.13,145.2,SAT-VERIFIED,2.45384,SAT-VERIFIED,NA
default_cake.sh,manthey_DimacsSorterHalf_30_3,370409,0,31,0,0,100.09,19.9,119.99,SAT-VERIFIED,17.5423,SAT-VERIFIED,NA
default_cake.sh,manthey_DimacsSorterHalf_30_7,370031,0,13,0,0,100.14,29.72,129.86,SAT-VERIFIED,52.2693,SAT-VERIFIED,NA
default_cake.sh,manthey_DimacsSorterHalf_31_2,251695,0,16,0,0,100.11,32.59,132.7,SAT-VERIFIED,3.10417,SAT-VERIFIED,NA
default_cake.sh,manthey_DimacsSorterHalf_31_8,230966,0,13,0,0,100.05,221.01,321.06,SAT-VERIFIED,6.94087,SAT-VERIFIED,NA
default_cake.sh,manthey_DimacsSorterHalf_32_1,301227,0,0,0,0,100.11,360.69,460.8,SAT-VERIFIED,317.731,SAT-VERIFIED,NA
default_cake.sh,manthey_DimacsSorterHalf_33_1,315057,0,13,0,0,100.07,11.24,111.31,SAT-VERIFIED,4.88496,SAT-VERIFIED,NA
default_cake.sh,manthey_DimacsSorterHalf_35_8,153406,0,0,0,0,100.04,1311.42,1411.46,SAT-VERIFIED,1172.03,SAT-VERIFIED,NA
default_cake.sh,manthey_DimacsSorterHalf_35_9,158069,0,0,0,0,100.08,809.41,909.49,SAT-VERIFIED,722.526,SAT-VERIFIED,NA
default_cake.sh,manthey_DimacsSorterHalf_36_0,305916,0,0,0,0,100.05,38.04,138.09,SAT-VERIFIED,31.934,SAT-VERIFIED,NA
default_cake.sh,manthey_DimacsSorterHalf_36_7,300488,0,20,0,0,99.57,500.22,599.79,SAT-VERIFIED,94.1344,SAT-VERIFIED,NA
default_cake.sh,manthey_DimacsSorterHalf_37_3,239037,0,4,0,0,100.07,2021.94,2122.01,SAT-VERIFIED,4148.02,SAT-VERIFIED,NA
default_cake.sh,manthey_DimacsSorterHalf_37_6,166072,0,0,0,0,100.08,105.28,205.36,SAT-VERIFIED,89.6959,SAT-VERIFIED,NA
default_cake.sh,manthey_DimacsSorterHalf_37_8,202079,0,11,0,0,99.96,10.46,110.42,SAT-VERIFIED,1.55475,SAT-VERIFIED,NA
default_cake.sh,manthey_DimacsSorterHalf_37_9,167776,0,0,0,0,100.08,121.19,221.27,SAT-VERIFIED,103.407,SAT-VERIFIED,NA
default_cake.sh,manthey_DimacsSorter_28_0,359818,0,15,0,0,100.13,0.72,100.85,SAT-VERIFIED,4.49829,SAT-VERIFIED,NA
default_cake.sh,manthey_DimacsSorter_28_3,389570,0,49,0,0,100.08,51.22,151.3,SAT-VERIFIED,11.2103,SAT-VERIFIED,NA
default_cake.sh,manthey_DimacsSorter_28_4,340731,0,27,0,0,100.1,39.33,139.43,SAT-VERIFIED,106.187,SAT-VERIFIED,NA
default_cake.sh,manthey_DimacsSorter_28_7,357373,0,31,0,0,100.07,19.6,119.67,SAT-VERIFIED,36.2166,SAT-VERIFIED,NA
default_cake.sh,manthey_DimacsSorter_29_8,258194,104,13,0,104,100.04,495.6,595.64,SAT-VERIFIED,189.015,SAT-VERIFIED,NA
default_cake.sh,manthey_DimacsSorter_30_1,372463,0,47,0,0,98.61,12.88,111.49,SAT-VERIFIED,13.3561,SAT-VERIFIED,NA
default_cake.sh,manthey_DimacsSorter_30_4,348081,0,6,0,0,100.06,46.49,146.55,SAT-VERIFIED,17.2275,SAT-VERIFIED,NA
default_cake.sh,manthey_DimacsSorter_30_5,350267,0,3,0,0,100.1,39.42,139.52,SAT-VERIFIED,38.9154,SAT-VERIFIED,NA
default_cake.sh,manthey_DimacsSorter_30_6,354773,0,30,0,0,100.02,82.25,182.27,SAT-VERIFIED,30.9433,SAT-VERIFIED,NA
default_cake.sh,manthey_DimacsSorter_31_0,286431,0,16,0,0,100.1,7.85,107.95,SAT-VERIFIED,9.49679,SAT-VERIFIED,NA
default_cake.sh,manthey_DimacsSorter_31_4,302907,16,26,0,16,100.06,50.6,150.66,SAT-VERIFIED,2.97601,SAT-VERIFIED,NA
default_cake.sh,manthey_DimacsSorter_31_6,237343,0,12,0,0,100,17.35,117.35,SAT-VERIFIED,6.64618,SAT-VERIFIED,NA
default_cake.sh,manthey_DimacsSorter_31_8,231164,0,13,0,0,100.1,222.15,322.25,SAT-VERIFIED,6.93935,SAT-VERIFIED,NA
default_cake.sh,manthey_DimacsSorter_32_1,300989,0,0,0,0,100.06,363.25,463.31,SAT-VERIFIED,317.946,SAT-VERIFIED,NA
default_cake.sh,manthey_DimacsSorter_35_1,194212,0,1,0,0,100.07,300.45,400.52,SAT-VERIFIED,23.8712,SAT-VERIFIED,NA
default_cake.sh,manthey_DimacsSorter_35_7,199970,0,0,0,0,100.11,431.07,531.18,SAT-VERIFIED,380.11,SAT-VERIFIED,NA
default_cake.sh,manthey_DimacsSorter_35_8,151948,0,0,0,0,100.07,1299.12,1399.19,SAT-VERIFIED,1187.19,SAT-VERIFIED,NA
default_cake.sh,manthey_DimacsSorter_36_4,320538,0,20,0,0,100.04,242.88,342.92,SAT-VERIFIED,27.7411,SAT-VERIFIED,NA
